# ERC-20 INACTIVITY denylist — (chain_id, address) pairs pruned for being dead.
# Generated from a 30-day Alchemy transfer screen + provenance triage
# (tools/scan_erc20_alchemy_activity.py -> tools/triage_erc20_activity.py).
# These are NOT scams (unlike erc20_impersonator_denylist.txt) — they are
# tokens with 0 transfers in the window and low provenance (Li.Fi/db-only or
# a single curated DEX list), carrying no blue-chip ticker and not CoinGecko-
# listed. Re-evaluable: a token reviving could justify removing its line.
# Format: <chain_id> <address>  # <tier> <symbol> <reason>
1 0x23E60d1488525bf4685f53b3aa8E676c30321066  # SAFE_DROP PT-wstUSR-25SEP2025 0 transfers; low provenance (lifi)
1 0x24124ACC7c41208f9A5f8017470b241482fCd84F  # SAFE_DROP PT-wstOBOL-22JAN2026 0 transfers; low provenance (lifi)
1 0x245b23aa7fA1Ca796513ce68117c34fEFCC154a9  # SAFE_DROP ROY-ST-stcUSD 0 transfers; low provenance (lifi)
1 0x24Eb24647786135352cbB14f888B23277F0014e7  # REVIEW STAR 0 transfers; curated by sushi_ethereum
1 0x250aa9FA13Aa01e6a578Bd0f8a3591B408f325c4  # SAFE_DROP jrRoyUSDC 0 transfers; low provenance (lifi)
1 0x25377ddb16c79C93B0CBf46809C8dE8765f03FCd  # SAFE_DROP SBREE 0 transfers; low provenance (lifi)
1 0x259AB9b9EAB62b0fD98729B97BE121073D5B3479  # REVIEW EST 0 transfers; curated by lifi,optimism_super
1 0x25C538cc5c5B4cDdf9a9A656f90d2d8129E841B2  # SAFE_DROP eLINK-1 0 transfers; low provenance (lifi)
1 0x260e63d91fCCC499606BAe3FE945c4ed1CF56A56  # SAFE_DROP MOONS 0 transfers; low provenance (lifi)
1 0x26c7D50B9f372e1FA9cA078CC054298f36D68B17  # SAFE_DROP SDARK 0 transfers; low provenance (lifi)
1 0x26E43759551333e57F073bb0772F50329A957b30  # SAFE_DROP DGVC 0 transfers; low provenance (lifi)
1 0x2767C27Eeaf3566082E74b963B6A0f5c9a46C8a1  # REVIEW stataEthENS 0 transfers; curated by 1inch_1,lifi
1 0x27C996B728712e80FAd047ef7226534ab38402f9  # SAFE_DROP YT-superWETH-30APR20 0 transfers; low provenance (lifi)
1 0x27fD686Db10E0aE047fe8FE1DE9830C0e0dC3CFA  # SAFE_DROP SCOTT 0 transfers; low provenance (lifi)
1 0x27Ffed7E5926Fb2795fC85aAab558243F280A8a2  # SAFE_DROP PUNK-FEMALE 0 transfers; low provenance (lifi)
1 0x2809387FB6BA29386a31fF042F3f04BEC26bb8E4  # SAFE_DROP YT-savETH-14MAY2026 0 transfers; low provenance (lifi)
1 0x2822f6D1B2f41F93f33d937bc7d84A8Dfa4f4C21  # SAFE_DROP QQQ 0 transfers; low provenance (lifi)
1 0x28ea81fac7b1719138cBf61267198155b433E00e  # SAFE_DROP CPC 0 transfers; low provenance (lifi)
1 0x299698B4B44BD6d023981A7317798dEe12860834  # REVIEW NFP 0 transfers; curated by sushi_ethereum
1 0x29A9E5A004002Ff9E960bb8BB536E076F53cbDF1  # SAFE_DROP ecbBTC-4 0 transfers; low provenance (lifi)
1 0x29D824d54Fd5118543E81637b8f865d045191F30  # SAFE_DROP eynETH-2 0 transfers; low provenance (lifi)
1 0x2A6dA117D121BE1cc3f4238Be938757A688a7eFB  # SAFE_DROP PT-WOUSD-18DEC2025 0 transfers; low provenance (lifi)
1 0x2a7CAd775fd9C5c43f996A948660fFc21b4e628c  # SAFE_DROP DOP 0 transfers; low provenance (lifi)
1 0x2Ab6578239eD541Ef7cC7D11a45D740cE9F0a1F4  # SAFE_DROP yvCurve-CTR-ETH-f 0 transfers; low provenance (lifi)
1 0x2aECCB42482cc64E087b6D2e5Da39f5A7A7001f8  # REVIEW RULER 0 transfers; curated by lifi,sushi_ethereum
1 0x2B13311fD553E74b421d4cCc96e348F71e179DcF  # SAFE_DROP eACRED 0 transfers; low provenance (lifi)
1 0x2b5C21578594F7988C7c80D258d0C927C756a848  # SAFE_DROP NGN 0 transfers; low provenance (lifi)
